//Cycle : #inst 0  pc opcode reg regnum value
       328 :   #139 0 00000028 00020283 
       333 :   #140 0 0000002c 00518023 r4=00010021
       334 :   #141 0 00000030 00000205 r23=0000002d
       335 :   #142 0 00000032 fe029be3 
       336 :   #143 0 00000028 00020283 
       341 :   #144 0 0000002c 00518023 r4=00010022
       342 :   #145 0 00000030 00000205 r23=0000002d
       343 :   #146 0 00000032 fe029be3 
       344 :   #147 0 00000028 00020283 
       349 :   #148 0 0000002c 00518023 r4=00010023
       350 :   #149 0 00000030 00000205 r23=0000000a
       351 :   #150 0 00000032 fe029be3 
       352 :   #151 0 00000028 00020283 
       357 :   #152 0 0000002c 00518023 r4=00010024
       358 :   #153 0 00000030 00000205 r23=00000048
       359 :   #154 0 00000032 fe029be3 
       360 :   #155 0 00000028 00020283 
       365 :   #156 0 0000002c 00518023 r4=00010025
       366 :   #157 0 00000030 00000205 r23=00000065
       367 :   #158 0 00000032 fe029be3 
       368 :   #159 0 00000028 00020283 
       373 :   #160 0 0000002c 00518023 r4=00010026
       374 :   #161 0 00000030 00000205 r23=0000006c
       375 :   #162 0 00000032 fe029be3 
       376 :   #163 0 00000028 00020283 
       381 :   #164 0 0000002c 00518023 r4=00010027
       382 :   #165 0 00000030 00000205 r23=0000006c
       383 :   #166 0 00000032 fe029be3 
       384 :   #167 0 00000028 00020283 
       389 :   #168 0 0000002c 00518023 r4=00010028
       390 :   #169 0 00000030 00000205 r23=0000006f
       391 :   #170 0 00000032 fe029be3 
       392 :   #171 0 00000028 00020283 
       397 :   #172 0 0000002c 00518023 r4=00010029
       398 :   #173 0 00000030 00000205 r23=00000020
       399 :   #174 0 00000032 fe029be3 
       400 :   #175 0 00000028 00020283 
       405 :   #176 0 0000002c 00518023 r4=0001002a
       406 :   #177 0 00000030 00000205 r23=00000057
       407 :   #178 0 00000032 fe029be3 
       408 :   #179 0 00000028 00020283 
       413 :   #180 0 0000002c 00518023 r4=0001002b
       414 :   #181 0 00000030 00000205 r23=0000006f
       415 :   #182 0 00000032 fe029be3 
       416 :   #183 0 00000028 00020283 
       421 :   #184 0 0000002c 00518023 r4=0001002c
       422 :   #185 0 00000030 00000205 r23=00000072
       423 :   #186 0 00000032 fe029be3 
       424 :   #187 0 00000028 00020283 
       429 :   #188 0 0000002c 00518023 r4=0001002d
       430 :   #189 0 00000030 00000205 r23=0000006c
       431 :   #190 0 00000032 fe029be3 
       432 :   #191 0 00000028 00020283 
       437 :   #192 0 0000002c 00518023 r4=0001002e
       438 :   #193 0 00000030 00000205 r23=00000064
       439 :   #194 0 00000032 fe029be3 
       440 :   #195 0 00000028 00020283 
       445 :   #196 0 0000002c 00518023 r4=0001002f
       446 :   #197 0 00000030 00000205 r23=00000020
       447 :   #198 0 00000032 fe029be3 
       448 :   #199 0 00000028 00020283 
       453 :   #200 0 0000002c 00518023 r4=00010030
       454 :   #201 0 00000030 00000205 r23=00000066
       455 :   #202 0 00000032 fe029be3 
       456 :   #203 0 00000028 00020283 
       461 :   #204 0 0000002c 00518023 r4=00010031
       462 :   #205 0 00000030 00000205 r23=00000072
       463 :   #206 0 00000032 fe029be3 
       464 :   #207 0 00000028 00020283 
       469 :   #208 0 0000002c 00518023 r4=00010032
       470 :   #209 0 00000030 00000205 r23=0000006f
       471 :   #210 0 00000032 fe029be3 
       472 :   #211 0 00000028 00020283 
       477 :   #212 0 0000002c 00518023 r4=00010033
       478 :   #213 0 00000030 00000205 r23=0000006d
       479 :   #214 0 00000032 fe029be3 
       480 :   #215 0 00000028 00020283 
       485 :   #216 0 0000002c 00518023 r4=00010034
       486 :   #217 0 00000030 00000205 r23=00000020
       487 :   #218 0 00000032 fe029be3 
       488 :   #219 0 00000028 00020283 
       493 :   #220 0 0000002c 00518023 r4=00010035
       494 :   #221 0 00000030 00000205 r23=00000053
       495 :   #222 0 00000032 fe029be3 
       496 :   #223 0 00000028 00020283 
