//Cycle : #inst 0  pc opcode reg regnum value
  262 :   #105 0 00000030 00000000000000000000001000000101 r23=0000002d
  263 :   #106 0 00000032 11111110000000101001101111100011 
  264 :   #107 0 00000028 00000000000000100000001010000011 
  269 :   #108 0 0000002c 00000000010100011000000000100011 r4=00010019
  270 :   #109 0 00000030 00000000000000000000001000000101 r23=0000002d
  271 :   #110 0 00000032 11111110000000101001101111100011 
  272 :   #111 0 00000028 00000000000000100000001010000011 
  277 :   #112 0 0000002c 00000000010100011000000000100011 r4=0001001a
  278 :   #113 0 00000030 00000000000000000000001000000101 r23=0000002d
  279 :   #114 0 00000032 11111110000000101001101111100011 
  280 :   #115 0 00000028 00000000000000100000001010000011 
  285 :   #116 0 0000002c 00000000010100011000000000100011 r4=0001001b
  286 :   #117 0 00000030 00000000000000000000001000000101 r23=0000002d
  287 :   #118 0 00000032 11111110000000101001101111100011 
  288 :   #119 0 00000028 00000000000000100000001010000011 
  293 :   #120 0 0000002c 00000000010100011000000000100011 r4=0001001c
  294 :   #121 0 00000030 00000000000000000000001000000101 r23=0000002d
  295 :   #122 0 00000032 11111110000000101001101111100011 
  296 :   #123 0 00000028 00000000000000100000001010000011 
  301 :   #124 0 0000002c 00000000010100011000000000100011 r4=0001001d
  302 :   #125 0 00000030 00000000000000000000001000000101 r23=0000002d
  303 :   #126 0 00000032 11111110000000101001101111100011 
  304 :   #127 0 00000028 00000000000000100000001010000011 
  309 :   #128 0 0000002c 00000000010100011000000000100011 r4=0001001e
  310 :   #129 0 00000030 00000000000000000000001000000101 r23=0000002d
  311 :   #130 0 00000032 11111110000000101001101111100011 
  312 :   #131 0 00000028 00000000000000100000001010000011 
  317 :   #132 0 0000002c 00000000010100011000000000100011 r4=0001001f
  318 :   #133 0 00000030 00000000000000000000001000000101 r23=0000002d
  319 :   #134 0 00000032 11111110000000101001101111100011 
  320 :   #135 0 00000028 00000000000000100000001010000011 
  325 :   #136 0 0000002c 00000000010100011000000000100011 r4=00010020
  326 :   #137 0 00000030 00000000000000000000001000000101 r23=0000002d
  327 :   #138 0 00000032 11111110000000101001101111100011 
  328 :   #139 0 00000028 00000000000000100000001010000011 
  333 :   #140 0 0000002c 00000000010100011000000000100011 r4=00010021
  334 :   #141 0 00000030 00000000000000000000001000000101 r23=0000002d
  335 :   #142 0 00000032 11111110000000101001101111100011 
  336 :   #143 0 00000028 00000000000000100000001010000011 
  341 :   #144 0 0000002c 00000000010100011000000000100011 r4=00010022
  342 :   #145 0 00000030 00000000000000000000001000000101 r23=0000002d
  343 :   #146 0 00000032 11111110000000101001101111100011 
  344 :   #147 0 00000028 00000000000000100000001010000011 
  349 :   #148 0 0000002c 00000000010100011000000000100011 r4=00010023
  350 :   #149 0 00000030 00000000000000000000001000000101 r23=0000000a
  351 :   #150 0 00000032 11111110000000101001101111100011 
  352 :   #151 0 00000028 00000000000000100000001010000011 
  357 :   #152 0 0000002c 00000000010100011000000000100011 r4=00010024
  358 :   #153 0 00000030 00000000000000000000001000000101 r23=00000048
  359 :   #154 0 00000032 11111110000000101001101111100011 
  360 :   #155 0 00000028 00000000000000100000001010000011 
  365 :   #156 0 0000002c 00000000010100011000000000100011 r4=00010025
  366 :   #157 0 00000030 00000000000000000000001000000101 r23=00000065
  367 :   #158 0 00000032 11111110000000101001101111100011 
  368 :   #159 0 00000028 00000000000000100000001010000011 
  373 :   #160 0 0000002c 00000000010100011000000000100011 r4=00010026
  374 :   #161 0 00000030 00000000000000000000001000000101 r23=0000006c
  375 :   #162 0 00000032 11111110000000101001101111100011 
  376 :   #163 0 00000028 00000000000000100000001010000011 
  381 :   #164 0 0000002c 00000000010100011000000000100011 r4=00010027
  382 :   #165 0 00000030 00000000000000000000001000000101 r23=0000006c
  383 :   #166 0 00000032 11111110000000101001101111100011 
  384 :   #167 0 00000028 00000000000000100000001010000011 
  389 :   #168 0 0000002c 00000000010100011000000000100011 r4=00010028
  390 :   #169 0 00000030 00000000000000000000001000000101 r23=0000006f
  391 :   #170 0 00000032 11111110000000101001101111100011 
  392 :   #171 0 00000028 00000000000000100000001010000011 
  397 :   #172 0 0000002c 00000000010100011000000000100011 r4=00010029
  398 :   #173 0 00000030 00000000000000000000001000000101 r23=00000020
  399 :   #174 0 00000032 11111110000000101001101111100011 
  400 :   #175 0 00000028 00000000000000100000001010000011 
  405 :   #176 0 0000002c 00000000010100011000000000100011 r4=0001002a
  406 :   #177 0 00000030 00000000000000000000001000000101 r23=00000057
  407 :   #178 0 00000032 11111110000000101001101111100011 
  408 :   #179 0 00000028 00000000000000100000001010000011 
  413 :   #180 0 0000002c 00000000010100011000000000100011 r4=0001002b
  414 :   #181 0 00000030 00000000000000000000001000000101 r23=0000006f
  415 :   #182 0 00000032 11111110000000101001101111100011 
  416 :   #183 0 00000028 00000000000000100000001010000011 
  421 :   #184 0 0000002c 00000000010100011000000000100011 r4=0001002c
  422 :   #185 0 00000030 00000000000000000000001000000101 r23=00000072
  423 :   #186 0 00000032 11111110000000101001101111100011 
  424 :   #187 0 00000028 00000000000000100000001010000011 
  429 :   #188 0 0000002c 00000000010100011000000000100011 r4=0001002d
  430 :   #189 0 00000030 00000000000000000000001000000101 r23=0000006c
  431 :   #190 0 00000032 11111110000000101001101111100011 
  432 :   #191 0 00000028 00000000000000100000001010000011 
  437 :   #192 0 0000002c 00000000010100011000000000100011 r4=0001002e
  438 :   #193 0 00000030 00000000000000000000001000000101 r23=00000064
  439 :   #194 0 00000032 11111110000000101001101111100011 
  440 :   #195 0 00000028 00000000000000100000001010000011 
  445 :   #196 0 0000002c 00000000010100011000000000100011 r4=0001002f
  446 :   #197 0 00000030 00000000000000000000001000000101 r23=00000020
  447 :   #198 0 00000032 11111110000000101001101111100011 
  448 :   #199 0 00000028 00000000000000100000001010000011 
  453 :   #200 0 0000002c 00000000010100011000000000100011 r4=00010030
  454 :   #201 0 00000030 00000000000000000000001000000101 r23=00000066
  455 :   #202 0 00000032 11111110000000101001101111100011 
  456 :   #203 0 00000028 00000000000000100000001010000011 
  461 :   #204 0 0000002c 00000000010100011000000000100011 r4=00010031
  462 :   #205 0 00000030 00000000000000000000001000000101 r23=00000072
